Population,Individual,Song,pc_1_value,pc_2_value,# km_cats_2_value,# km_cats_3_value,# km_cats_4_value,# km_cats_5_value
,MSG,"T0000006.sel.69.ch01_1,1",0.048131479,0.014681056,1,1,1,1
,MSG,"T0000006.sel.67.ch01_1,1",0.001933754,0.004627176,1,1,1,5
,MSG,"T0000006.sel.71.ch01_1,1",0.003757482,0.001829054,1,1,1,5
,MSG,"T0000006.sel.64.ch01_1,1",0.070245144,0.165539898,1,1,4,4
,MSG,"T0000006.sel.72.ch01_1,1",-0.007783293,0.070883113,2,1,1,4
,MSG,"T0000006.sel.70.ch01_1,1",0.036853477,0.010942466,1,1,1,1
,MSG,"T0000006.sel.74.ch01_1,1",0.013584918,0.042516113,1,1,1,5
,MSG,"T0000006.sel.68.ch01_1,1",-0.009955637,-0.042811167,2,1,1,5
,MSG,"T0000006.sel.76.ch01_1,1",0.032685672,0.083670919,1,1,4,4
,MSG,"T0000006.sel.100.ch01_1,1",-0.330975447,-0.009841973,2,2,2,2
,MSG,"T0000006.sel.73.ch01_1,1",0.044373168,0.225915689,1,1,4,4
,MSG,"T0000006.sel.80.ch01_1,1",-0.229958273,0.205958516,2,2,4,4
,MSG,"T0000006.sel.101.ch01_1,1",-0.24237571,-0.100933322,2,2,2,2
,MSG,"T0000006.sel.96.ch01_1,1",-0.244911693,0.026826903,2,2,2,2
,MSG,"T0000006.sel.78.ch01_1,1",0.130380039,0.0054665,1,3,3,1
,MSG,"T0000006.sel.91.ch01_1,1",-0.030557091,-0.058906116,2,1,1,5
,MSG,"T0000006.sel.81.ch01_1,1",0.075960266,0.07547852,1,1,1,1
,MSG,"T0000006.sel.87.ch01_1,1",-0.027947702,-0.059439284,2,1,1,5
,MSG,"T0000006.sel.86.ch01_1,1",-0.041106495,-0.038912802,2,1,1,5
,MSG,"T0000006.sel.83.ch01_1,1",0.159030691,0.148245905,1,3,3,1
,MSG,"T0000006.sel.83.ch01_1,2",0.034179757,0.054400491,1,1,1,1
,MSG,"T0000006.sel.85.ch01_1,1",0.073505928,0.089476946,1,1,4,1
,MSG,"T0000006.sel.84.ch01_1,1",0.110692784,0.094836842,1,3,3,1
,MSG,"T0000006.sel.84.ch01_1,2",0.118342631,0.062223353,1,3,3,1
,MSG,"T0000006.sel.112.ch01_1,1",0.204958701,-0.053950503,1,3,3,3
,MSG,"T0000006.sel.112.ch01_1,2",0.197829281,-0.049681164,1,3,3,3
,MSG,"T0000006.sel.112.ch01_1,3",0.199162447,-0.056408117,1,3,3,3
,MSG,"T0000006.sel.112.ch01_1,4",0.237586167,-0.060675,1,3,3,3
,MSG,"T0000006.sel.95.ch01_1,1",-0.101613404,-0.097821421,2,2,1,5
,MSG,"T0000006.sel.92.ch01_1,1",-0.022643476,-0.023994644,2,1,1,5
,MSG,"T0000006.sel.90.ch01_1,1",0.147531855,-0.015703051,1,3,3,1
,MSG,"T0000006.sel.93.ch01_1,1",-0.015670872,-0.000683569,2,1,1,5
,MSG,"T0000006.sel.89.ch01_1,1",0.189371328,-0.004272318,1,3,3,3
,MSG,"T0000006.sel.88.ch01_1,1",0.175094417,0.013475571,1,3,3,3
,MSG,"T0000006.sel.94.ch01_1,1",0.005536022,-0.044283895,1,1,1,5
,MSG,"T0000006.sel.99.ch01_1,1",-0.148559244,0.099456322,2,2,2,2
,MSG,"T0000006.sel.97.ch01_1,1",-0.139459196,0.101394704,2,2,2,2
,MSG,"T0000006.sel.102.ch01_1,1",0.112526931,0.142419661,1,3,4,4
,MSG,"T0000006.sel.110.ch01_1,1",-0.042939795,0.01172553,2,1,1,5
,MSG,"T0000006.sel.105.ch01_1,1",-0.126953282,0.083667411,2,2,2,2
,MSG,"T0000006.sel.104.ch01_1,1",-0.046314348,0.079268811,2,1,4,4
,MSG,"T0000006.sel.103.ch01_1,1",-0.078566682,0.160566084,2,1,4,4
,MSG,"T0000006.sel.107.ch01_1,1",0.123543619,-0.056006228,1,3,3,1
,MSG,"T0000006.sel.114.ch01_1,1",-0.005396488,-0.179455422,1,1,1,5
,MSG,"T0000006.sel.113.ch01_1,1",-0.040955383,-0.096686586,2,1,1,5
,MSG,"T0000006.sel.106.ch01_1,1",0.114129633,-0.025653917,1,3,3,1
,MSG,"T0000006.sel.108.ch01_1,1",0.199405321,-0.016526137,1,3,3,3
,MSG,"T0000006.sel.111.ch01_1,1",0.140926039,-0.042512797,1,3,3,1
,MSG,"T0000006.sel.109.ch01_1,1",0.235472813,0.030601816,1,3,3,3
,MSG,"T0000006.sel.116.ch01_1,1",-0.048165063,-0.051456016,2,1,1,5
,MSG,"T0000006.sel.115.ch01_1,1",0.015853439,-0.085219343,1,1,1,5
,MSG,"T0000006.sel.120.ch01_1,1",0.088348997,-0.051474852,1,3,3,1
,MSG,"T0000006.sel.117.ch01_1,1",0.009142815,0.100149175,1,1,4,4
,MSG,"T0000006.sel.121.ch01_1,1",0.050257873,0.053530127,1,1,1,1
,MSG,"T0000006.sel.121.ch01_1,2",0.192917055,0.038180721,1,3,3,3
,MSG,"T0000006.sel.119.ch01_1,1",0.27083431,-0.014571555,1,3,3,3
,MSG,"T0000006.sel.119.ch01_1,2",0.284489358,-0.07847638,1,3,3,3
,MSG,"T0000006.sel.118.ch01_1,1",0.090770022,0.032735162,1,3,3,1
,MSG,"T0000006.sel.122.ch01_1,1",0.20745985,0.009875634,1,3,3,3
