Group,category,type,Group_full,,,
Mixed Species Group (Exclusive),670,Concave,msg,,,
Mixed Species Group (Exclusive),672,Upsweep,msg,,,
Mixed Species Group (Exclusive),674,Sine,msg,,,
Mixed Species Group (Exclusive),679,Upsweep,msg,,,
Mixed Species Group (Exclusive),682,Upsweep,msg,,,
Mixed Species Group (Exclusive),685,Sine,msg,,,
Mixed Species Group (Exclusive),691,Concave,msg,,,
Mixed Species Group (Exclusive),692,Sine,msg,,,
Mixed Species Group (Exclusive),695,Sine,msg,,,
Mixed Species Group (Exclusive),702,Sine,msg,,,
Mixed Species Group (Exclusive),713,Sine,msg,,,
Mixed Species Group (Exclusive),715,Concave,msg,,,
Mixed Species Group (Exclusive),718,Sine,msg,,,
Mixed Species Group (Exclusive),722,Sine,msg,,,
Mixed Species Group (Exclusive),724,Downsweep,msg,,,
Mixed Species Group (Exclusive),725,Sine,msg,,,
Mixed Species Group (Exclusive),727,Sine,msg,,,
Mixed Species Group (Exclusive),729,Sine,msg,,,
Mixed Species Group (Exclusive),730,Sine,msg,,,
Mixed Species Group (Exclusive),737,Upsweep,msg,,,
Mixed Species Group (Exclusive),739,Sine,msg,,,
Mixed Species Group (Exclusive),740,Concave,msg,,,
Mixed Species Group (Exclusive),741,Sine,msg,,,
Mixed Species Group (Exclusive),743,Convex,msg,,,
Mixed Species Group (Exclusive),745,Downsweep,msg,,,
Mixed Species Group (Exclusive),748,Upsweep,msg,,,
Mixed Species Group (Exclusive),750,Sine,msg,,,
Mixed Species Group (Exclusive),751,Sine,msg,,,
Mixed Species Group (Exclusive),755,Sine,msg,,,
Mixed Species Group (Exclusive),760,Sine,msg,,,
Mixed Species Group (Exclusive),761,Downsweep,msg,,,
Mixed Species Group (Exclusive),762,Concave,msg,,,
Mixed Species Group (Exclusive),764,Concave,msg,,,
Mixed Species Group (Exclusive),766,Sine,msg,,,
Mixed Species Group (Exclusive),767,Sine,msg,,,
Mixed Species Group (Exclusive),769,Upsweep,msg,,,
Mixed Species Group (Exclusive),770,Sine,msg,,,
Mixed Species Group (Exclusive),771,Convex,msg,,,
Mixed Species Group (Exclusive),775,Downsweep,msg,,,
Mixed Species Group (Exclusive),776,Upsweep,msg,,,
Mixed Species Group (Exclusive),778,Sine,msg,,,
Mixed Species Group (Exclusive),779,Sine,msg,,,
Mixed Species Group (Exclusive),781,Sine,msg,,,
Mixed Species Group (Exclusive),792,Sine,msg,,,
Mixed Species Group (Exclusive),793,Convex,msg,,,
Mixed Species Group (Exclusive),800,Sine,msg,,,
Mixed Species Group (Exclusive),803,Upsweep,msg,,,
Mixed Species Group (Exclusive),809,Sine,msg,,,
Mixed Species Group (Exclusive),811,Sine,msg,,,
Mixed Species Group (Exclusive),812,Sine,msg,,,
Mixed Species Group (Exclusive),813,Sine,msg,,,
Mixed Species Group (Exclusive),815,Sine,msg,,,
Mixed Species Group (Exclusive),816,Sine,msg,,,
Mixed Species Group (Exclusive),818,Sine,msg,,,
Mixed Species Group (Exclusive),823,Sine,msg,,,
Mixed Species Group (Exclusive),825,Sine,msg,,,
Mixed Species Group (Exclusive),827,Sine,msg,,,
Mixed Species Group (Exclusive),828,Downsweep,msg,,,
Mixed Species Group (Exclusive),837,Upsweep,msg,,,
Mixed Species Group (Exclusive),840,Upsweep,msg,,,
Mixed Species Group (Exclusive),845,Upsweep,msg,,,
Mixed Species Group (Exclusive),846,Sine,msg,,,
Mixed Species Group (Exclusive),847,Sine,msg,,,
Mixed Species Group (Exclusive),850,Sine,msg,,,
Mixed Species Group (Exclusive),853,Constant,msg,,,
Mixed Species Group (Exclusive),855,Sine,msg,,,
Mixed Species Group (Exclusive),856,Convex,msg,,,
Mixed Species Group (Exclusive),858,Convex,msg,,,
Mixed Species Group (Exclusive),859,Upsweep,msg,,,
Mixed Species Group (Exclusive),860,Upsweep,msg,,,
Mixed Species Group (Exclusive),861,Upsweep,msg,,,
Mixed Species Group (Exclusive),864,Sine,msg,,,
Mixed Species Group (Exclusive),868,Upsweep,msg,,,
Mixed Species Group (Exclusive),869,Upsweep,msg,,,
Mixed Species Group (Exclusive),875,Sine,msg,,,
Mixed Species Group (Exclusive),878,Upsweep,msg,,,
Mixed Species Group (Exclusive),881,Upsweep,msg,,,
Mixed Species Group (Exclusive),882,Concave,msg,,,
Mixed Species Group (Exclusive),899,Upsweep,msg,,,
Mixed Species Group (Exclusive),904,Downsweep,msg,,,
Mixed Species Group (Exclusive),906,Upsweep,msg,,,
Mixed Species Group (Exclusive),911,Upsweep,msg,,,
Mixed Species Group (Exclusive),915,Concave,msg,,,
Mixed Species Group (Exclusive),916,Upsweep,msg,,,
Mixed Species Group (Exclusive),917,Sine,msg,,,
Mixed Species Group (Exclusive),918,Upsweep,msg,,,
Mixed Species Group (Exclusive),922,Upsweep,msg,,,
Mixed Species Group (Exclusive),929,Upsweep,msg,,,
Mixed Species Group (Exclusive),948,Upsweep,msg,,,
Mixed Species Group (Exclusive),958,Upsweep,msg,,,
Mixed Species Group (Exclusive),969,Upsweep,msg,,,
Mixed Species Group (Exclusive),1008,Upsweep,msg,,,
Mixed Species Group (Exclusive),1018,Constant,msg,,,
Mixed Species Group (Exclusive),1020,Convex,msg,,,
Mixed Species Group (Exclusive),1022,Upsweep,msg,,,
Mixed Species Group (Exclusive),1031,Upsweep,msg,,,
Mixed Species Group (Exclusive),1053,Upsweep,msg,,,
Mixed Species Group (Exclusive),1086,Upsweep,msg,,,
Mixed Species Group (Exclusive),1091,Upsweep,msg,,,
Mixed Species Group (Exclusive),1093,Downsweep,msg,,,
Mixed Species Group (Exclusive),1129,Convex,msg,,,
Mixed Species Group (Exclusive),1167,Upsweep,msg,,,
Mixed Species Group (Exclusive),1169,Upsweep,msg,,,
Mixed Species Group (Exclusive),1190,Upsweep,msg,,,
Mixed Species Group (Exclusive),1208,Upsweep,msg,,,
